Subscriber_ID,Engagement_L7,Engagement_L30,Watch_Hours_Change,Titles_Viewed,Profiles_With_Engagement,Avg_Content_Completion_Rate,Playback_Failures_L30,Video_Start_Failure_L30,High_Rebuffering_L30
ee4f8607-225a-47bf-b873-0633fce7cb09,100,419,0.311,1,8,0.18,19,6,13
94b51ef7-cea0-4959-9126-78caececb833,100,409,0.354,12,8,0.08,7,4,7
4aea09fa-935c-4de0-856e-eaaaf5e2beac,100,400,0.344,9,4,0.23,19,20,14
67daee85-d5a6-4bba-aa03-4c7d3752180e,100,418,1.874,27,2,0.63,14,0,0
be426441-fef4-4bfd-9533-3e62ae9ba4ea,100,401,1.081,30,6,0.36,9,12,17
fa6442e8-7512-4856-a71d-5fc85792d5df,100,404,-0.135,8,8,0.44,0,7,1
6176ff48-2b7f-4057-97f7-291af7b15294,100,407,1.298,9,8,0.9,12,12,13
db41dfb3-dd63-40e0-8258-9828de94045b,100,409,-0.156,16,3,0.59,2,16,5
42adeeef-b763-46ab-9e85-6ae88a694126,100,406,1.974,17,5,0.87,0,14,4
6dd3e41d-6369-437f-b473-dcc0accdb396,100,405,0.546,28,2,0.48,1,8,0
85eea891-ad9e-4588-b14a-8f89b54f2563,100,418,1.157,5,6,0.85,6,14,15
f8787954-521c-40a9-a6ef-54865b16f1fe,100,414,-0.126,16,4,0.38,0,11,20
0161598a-0795-4fee-be23-dc7c246de805,100,418,1.09,22,3,0.96,19,14,9
d58070c8-148c-4c23-8d7a-d227633d7a2f,100,403,-0.099,19,7,0.59,8,10,8
40a9d4eb-efcf-43fb-9527-da3978bd2fe2,100,406,-0.731,8,4,0.46,2,18,8
0be7bb5b-b1f1-414e-a2a9-1137e867f5e2,100,407,0.259,3,4,0.82,12,8,19
6911c6c4-acfc-4fcc-84a6-dc493206b539,100,416,-0.447,19,1,0.44,13,8,2
31a00bee-c299-4713-a9bc-daf306da497c,100,409,1.846,11,4,0.34,8,9,20
702ee514-c14c-43aa-81ee-34e965bb398f,100,403,1.674,25,3,0.91,18,14,13
f027f07d-0fd6-4fb8-b585-820a2a6ad580,100,412,-0.13,29,8,0.09,1,12,9
7a7d1d92-2f4c-4121-b8f8-961e5a1e9e7b,100,418,-0.271,12,6,0.19,13,14,9
b8dd1dea-3518-42a3-9d6c-8564e290e34c,100,411,-0.74,17,6,0.43,5,12,18
65e33889-4391-48a5-836e-205eb599a858,100,420,-0.567,29,6,0.82,3,9,7
20ab20cf-6685-45c1-bd98-6048d7b8574b,100,408,-0.241,8,5,0.05,11,12,11
7b276b41-deaf-46c2-861c-3a8bc79cb96b,100,402,-0.052,3,5,0.34,13,18,6
9681763d-e70c-41d8-b761-1900d5fee005,99,404,1.863,8,8,0.05,11,1,20
bb2ed194-70fc-4392-94cd-71b5e310e894,99,416,-0.558,24,4,0.18,13,16,16
9a56c4c5-b93f-4489-bb54-c4a070a1d6cf,99,407,-0.923,9,7,0.58,1,0,3
0879f476-6472-4813-b3d4-4488ae5cdc6b,99,414,1.064,12,8,0.12,4,4,0
cecb92c7-68f4-411d-b9fb-b405afb6f1fc,99,397,0.776,1,4,0.53,0,17,19
0bb570a3-0911-41bc-9654-1b7abce209d3,99,414,0.468,19,7,0.06,6,6,6
81b128cf-8969-4745-8e22-f3de754ac35b,99,414,-0.589,9,1,0.91,11,11,14
184e88a1-62f5-42cb-869b-5b7db4a03846,99,398,-0.449,28,2,0.91,2,11,16
7aead450-5707-484b-b7e2-e3dbc1e7d681,99,412,-0.832,8,7,0.2,17,5,6
317166ee-89da-4d59-89b8-16c051e45261,99,407,0.353,10,4,0.57,16,17,8
469bb10b-e8a0-4c8c-99f8-b9352053113e,99,409,0.854,23,6,0.53,16,8,14
6a35cb4a-ca12-4eb9-8c7f-d6b77922278a,99,397,0.287,8,2,0.98,7,1,20
54fb6cd3-612e-4c31-92d4-ddc70fb72577,99,416,1.433,23,5,0.61,4,1,11
5f994658-a419-444d-bcf7-b27297ced512,99,400,1.451,14,7,0.02,10,3,8
a30e871d-8963-4366-b678-80a02b6d0037,99,408,0.571,17,6,0.72,6,16,11
b51650e8-b8e8-484c-8c65-001bb3de4b6a,99,401,0.324,24,7,0.11,7,15,13
9d7270a2-c7a9-4ef4-9556-f66c6fee18f8,99,415,-0.304,15,3,0.03,7,10,5
cebc7c4d-380b-4ba9-a259-9b8515148ac5,99,412,0.326,2,3,0.27,6,2,15
cea25d79-88c1-46b5-838f-7d89833d753f,99,396,0.878,26,2,0.19,3,16,6
79362ad2-4096-4fa2-b731-3e853f45bc55,99,415,-0.438,8,5,0.48,1,9,5
346eb6fc-5d5a-44b1-a54b-ebfc0547d649,99,409,1.453,6,5,0.81,1,2,15
99113753-7ce7-42bf-939c-f570623fd81d,99,408,-0.189,18,8,0.52,7,20,8
77a7b0ff-7a5b-4c3b-9a1c-f7dd4e317700,99,412,0.558,23,5,0.28,7,8,13
ef716af3-a61e-4448-9820-72e9e8619cc8,99,404,0.068,17,3,0.05,4,8,17
05933cad-685d-4b9a-ac45-a45aee994085,99,400,-0.895,2,6,0,4,13,19
51ace988-5925-4b91-a862-96766475aa38,99,404,-0.066,11,3,0.47,6,2,20
9d848355-b739-43d4-b356-7715567a83ce,99,403,-0.584,10,7,0.7,18,17,6
b469993d-2730-4fc0-9d64-a69f1e9c6aa3,99,401,-0.455,3,3,0.11,19,11,13
5cf5be2a-3e48-4bf4-951a-0029c1cc57dc,99,403,1.041,27,3,0.74,14,11,8
47d1955d-73c8-45cf-b528-14a3e25eada0,99,413,-0.379,6,1,0.02,19,20,10
0dff16ce-6ad2-46be-8dee-ea43aed22465,99,415,1.479,30,2,0.27,9,3,12
a1a0ec87-8090-48ba-98d0-e297227df17b,99,397,0.127,3,7,0.04,7,2,16
f1cda108-4239-4296-a921-f7539e215102,99,414,-0.944,8,7,0.05,6,17,9
b6551993-bd4b-4e50-aac9-fed3f34ae3ba,99,404,1.587,24,6,0.59,2,2,20
056a3e10-fe45-42d4-9b16-19379eac3342,99,416,0.492,4,5,0.7,12,2,15
997301f6-a64d-4e86-95e5-9afe5870f03c,99,401,1.081,3,1,0.08,8,4,11
39fb996f-269a-430d-8be0-e67ce69d7bd1,99,410,-0.473,22,7,0.75,2,19,11
e6943ef6-52df-4645-afea-3a31ec8c9ae6,99,401,0.522,18,8,0.54,0,10,3
064bb4c7-1827-4f8a-a9e4-044751924457,99,415,-0.171,29,1,0.77,14,9,7
de3f929f-fe57-4623-a0cf-1ff032f61b4e,99,403,1.467,11,7,0.34,10,14,1
9b709874-8b8c-4095-9da8-12dc56fc6cd9,99,402,-0.24,19,5,0.91,0,20,8
227812a9-52a8-4b8c-b4b3-b78fbaf6055a,99,408,1.36,1,2,0.89,0,1,12
e05e4bd0-f93c-4073-a1c2-027ce9a2e784,99,397,-0.446,30,2,0.2,5,10,12
8237542f-a1bf-4815-964a-a2377ae5f8a7,99,409,1.016,30,3,0.65,5,0,1
50d66fbd-2b31-4c09-846c-445ebd1fa1ca,99,412,-0.696,7,5,0.97,4,4,17
65db7e16-d408-49e8-9703-4cf0bd743878,99,408,0.612,25,4,0.48,2,16,16
c82ee067-7a3a-4c95-8b27-0407ce49ead1,99,409,1.716,21,3,0.75,10,5,9
f2b0abd5-e81d-48cb-b633-062b761e7b6b,99,407,-0.385,6,8,0.98,12,13,12
151b4b34-ccce-4779-a343-b7ff6e1e1794,99,415,0.236,12,8,0.41,5,20,3
36a5918f-1edb-4619-8f3a-cab642abb433,99,401,1.873,14,4,0.16,5,6,11
8c40edd4-49e4-414a-b3e2-8dfc321aa1e8,99,405,-0.658,5,6,0.75,10,8,8
6b82fb88-e6fa-4292-9b7b-04c6b92b7b11,99,398,-0.801,23,8,0.55,14,5,5
93979cc9-c3ed-49d8-b7ef-738f4f4bf278,99,413,0.861,11,4,0.64,6,0,11
7cca8be0-ed27-48fc-a078-45a111576c87,99,403,0.014,27,4,0.14,4,1,3
0fd9f2b8-2128-4b27-863d-f43e9ebb61d9,98,395,1.019,11,8,0.26,0,13,12
bf73fe8f-6843-42ea-98dc-447f63d9e477,98,407,-0.526,24,2,0.81,17,8,19
0c29acc4-9ad6-4465-8f50-dd81d14f1ea0,98,401,0.709,8,1,0.98,2,2,3
37f1dadc-fb5c-46ac-8427-a5404aac59ed,98,399,-0.654,20,4,0.91,14,14,11
484cc573-845c-43bd-99a0-4e43f0db699a,98,393,1.01,15,5,0.96,11,8,4
8d7fe57c-9051-4b73-af90-d71eeef852b8,98,393,-0.139,2,5,0.91,5,11,20
ed29c65c-56a7-41ae-b4c3-d402a8af61d4,98,411,0.283,15,6,0.55,15,6,4
38252756-87d4-4eb3-bb7b-be4aacce0245,98,392,-0.203,15,4,0.75,5,15,16
e7c819cc-2347-4280-9417-d89d2a2aaab0,98,395,0.408,5,8,0.24,1,8,11
cdb71c0b-4c3b-46d2-9a9c-e13463f47328,98,411,-0.299,24,8,0.14,17,19,0
bf327f32-5c0b-408b-afe8-5c360282fb3d,98,396,0.771,8,7,0.99,18,14,16
5c52b4e5-cd15-4e9f-bfe7-5dfc074094af,98,411,1.037,7,4,0.6,20,16,19
6db6c652-2bd8-4d8b-9a2c-811630610de5,98,404,1.417,8,4,0.87,13,10,17
11307316-c7fc-49a1-b27d-b5d604a98aea,98,399,-0.898,16,8,0.15,10,8,17
6cb29260-57e1-424f-a91c-b25f8d6e4e4a,98,398,0.503,13,8,0.01,15,15,13
a90f9dea-a417-49c6-9214-c3b64aa1aff9,98,394,0.161,28,4,0.47,5,15,20
02c2f5b9-45a3-46eb-a80d-79c962240297,98,398,0.492,19,7,0.23,16,9,12
3bfe7e2c-6434-4c0c-902e-3a77139f535b,98,402,0.53,20,7,0.73,6,3,13
bf7c75ce-0284-4623-a3b4-8099042dc026,98,411,1.535,27,8,0.62,20,9,8
f1b4c3fb-f4a7-40f2-be09-b8c819fd1d0e,98,404,-0.69,23,1,0.85,20,20,16
a2f7061a-5b01-4a15-ae54-94675f9540b3,98,410,-0.047,23,5,0.49,1,0,18
f768f271-0d0d-47d3-ae6a-5d593df3cd72,98,405,1.086,18,6,0.05,10,3,17
4fddfe08-b8a8-4f44-bd08-7fea9b5e7bf5,98,400,0.945,28,5,0.83,3,8,14
6c852ff4-c77b-426e-bc3a-86bce67e754e,98,397,1.741,27,5,0.12,12,20,4
ca64208a-dad8-480e-9711-ed6b06a38037,98,397,1.355,3,3,0.27,2,7,12
57ae4b53-b5bf-4430-9e3b-111ef5533790,98,405,-0.975,3,5,0.1,3,16,10
e16dac5f-e114-41e3-929e-636f2b60ece2,98,393,1.432,26,2,0.25,16,15,2
7521cbd3-ef8a-46aa-9eff-34e168abb26f,98,395,-0.981,10,7,0.84,2,0,17
2ec02d7c-16ba-4185-b3bd-440eeab79397,98,406,1.171,30,6,0.13,14,17,12
dc1f1250-1407-4112-8dd3-c14058e37bd9,98,396,2,11,7,0.5,11,19,11
1d12e1f6-d422-47ee-a9a1-6d391c54d9c3,98,411,0.198,6,3,0.89,3,19,6
dff9788d-dc7a-4ee6-ba90-496b82891b72,98,399,0.125,1,1,0.22,4,16,16
f55d69b9-e880-49ff-99e3-34a4eb5ee522,98,407,-0.825,21,6,0.69,0,0,17
6140c856-0f69-4403-9fc3-130208428b62,98,407,0.552,11,8,0.69,17,7,4
a6ad9cfa-0d44-4443-8bbc-a52ee2fe15dd,98,411,0.31,16,2,0.33,7,1,8
5be056c5-380c-47f2-8c08-19e3bed8fdea,98,397,-0.713,25,5,0.63,18,5,12
e7dbbeb4-3afb-49be-9e6b-763ae9e2c038,98,410,1.534,19,6,0.34,20,13,16
6224aab4-71dd-4148-a6a4-88df1d49e4b8,98,392,-0.24,3,6,0.57,18,7,1
0d0eca10-4884-4f85-b993-304d7df4f1b5,98,393,1.048,7,1,0.64,17,10,19
ee73a2d8-70fc-4543-96b7-0e24b25de275,98,402,1.688,2,4,0.53,12,7,7
d2b93157-ac1e-4aec-a5a9-4555a925556c,98,409,1.657,3,6,0.01,7,14,12
4aa381ed-274c-4484-ae0d-9c53e95a82dc,98,406,1.926,23,8,0.84,3,1,8
02106590-e32e-4614-a1ed-ca5faadd9160,98,393,-0.217,4,2,0.73,8,5,4
589726e8-44a6-4e2c-b911-d8355398a7e7,98,403,1.903,1,5,0.12,0,15,9
539a80e5-1d42-4f0e-bfe7-08dae286d3ed,98,407,-0.826,27,4,0.91,8,7,8
0529193b-0e9c-4991-90b6-6af7dacc582c,98,403,1.894,15,7,0.45,13,16,7
d2a74f8f-5915-4d8b-912b-8cdfc8feaacb,98,397,0.343,19,6,0.55,9,2,17
9a1a02b5-d2f1-4f8a-bf84-797b172d8642,98,394,1.913,15,6,0.06,0,12,12
ee4a4aa5-b285-44ae-b524-7bba3fe216f4,98,401,-0.218,16,5,0.5,16,16,13
02d0642d-6d00-4da1-b113-67a36ab33b5e,98,406,1.571,17,3,0.01,14,4,3
77cb04cc-8e8e-491d-b95f-63c1e4ded60a,98,401,0.757,22,3,0.89,7,11,15
a38d0412-7c1d-4112-b900-5c8d5ebc4645,97,402,1.859,20,3,0.38,6,9,5
c984de13-fba5-4869-a71e-8329025dddba,97,402,-0.169,28,7,0.71,5,20,4
7e9cfd48-582e-4881-9978-f8aeb9e39c89,97,404,0.473,2,6,0.09,11,16,4
c1a7d34f-0a6e-49d4-9ac9-3fdc0716ae8e,97,400,1.734,14,2,0.32,0,14,7
e04bc53e-407a-4dbb-8133-1148f104b8ab,97,400,1.408,9,2,0.86,7,19,3
e72696b4-8a53-4658-9f4d-fd06c5b563ec,97,403,0.294,5,8,0.98,16,15,20
45aa48dc-9bf0-4492-9b21-aab9dfd45f2b,97,403,-0.931,24,7,0.34,3,13,11
fb2a8ee9-4890-4d81-b58a-8e9eb2369fef,97,402,1.853,15,8,0.29,20,18,15
e01c8cf3-3fbf-4b8f-96bb-bd1ae5c07d3f,97,398,-0.93,10,5,0.86,9,11,10
02a3213a-811b-40ab-b6b3-786f2156f424,97,393,-0.577,24,6,0.26,20,2,20
07fb9e0b-e8b2-4688-b55d-5bd1f2a7fbb2,97,393,0.267,29,1,0.46,17,16,15
52d9819e-5624-459b-ad22-b49a1165164d,97,406,1.924,18,1,0.45,17,5,11
c1d63298-71af-4d7f-bd2a-3e71fb1cd686,97,399,0.232,1,7,0.04,16,17,11
3db81751-3f2c-448c-90d7-e71526717833,97,392,1.684,12,5,0.73,2,5,16
729c3f86-346b-4d99-a250-104ed60d4af4,97,396,-0.236,7,5,0.56,4,13,7
483e0170-5f3b-4f8d-8dd9-9d5549fe4beb,97,406,0.972,12,3,0.77,15,12,4
7fac802b-9eb2-41cf-a6ef-9d3504706ca2,97,391,-0.43,14,4,0.77,8,20,7
17e5f466-3f90-447e-ba91-45ace953a731,97,390,1.351,6,2,0.4,2,15,13
f791edaa-47e6-46d8-bc19-afdcf5e7621d,97,401,0.089,10,6,0.55,17,7,10
094bf88e-c62b-49f6-a09e-a4e24e4d2d52,97,400,-0.679,12,1,0.36,4,3,8
bf8a9f0f-36de-42d2-aa05-647846314a67,97,390,0.078,21,3,0.93,5,4,19
c49df06c-9bc1-4cc6-8686-a96b82c033c7,97,390,1.458,24,8,0.02,11,3,13
3eefeb63-59dd-43fb-bc4d-703f23d3a5e5,97,394,1.491,17,3,0.05,5,10,12
97271f11-2c53-40cd-b9d5-b4bc23fab63a,97,399,1.74,2,4,0.79,12,3,11
e11f17c2-07d6-4ed2-84ea-b27c6f48cb82,97,393,1.021,18,6,0.08,11,20,19
2ac879aa-2fea-42c9-8b17-a6c7f32c2d19,97,393,1.142,5,6,0.2,15,18,7
e5d81de3-2018-4cf2-b760-e35b50bc92ab,97,398,-0.638,8,7,0.06,4,14,18
7b2f2bb9-6329-4db5-b5ad-e8d4bfda0fe6,97,405,1.117,13,5,0.4,6,5,9
adf6ec52-6bd5-4b89-8d2b-cfcfc86520ba,97,397,0.254,24,6,0.7,1,12,14
fb0badb6-92a1-4f50-95c0-6c33c3a7301c,97,405,-0.546,12,7,0.71,16,19,0
3ae8cfee-9501-47d6-a564-e51bb6075cc0,97,400,-0.177,8,2,0.64,4,3,2
0fee3c72-a5f6-4b05-8dfb-3412e7f5b583,97,405,0.311,13,4,0.93,2,0,12
9ede1b2b-f13e-455b-8305-ddb39de318ba,97,391,-0.617,22,8,0.72,13,1,13
95ff667a-1b57-4e80-8905-ea3c705f1b58,97,407,1.1,10,1,0.08,15,18,13
a780168d-d2c5-4061-b953-6934d7fd576a,97,395,0.525,11,2,0.65,3,1,6
d9b715e8-6610-4d75-b8ec-e31d088d6b11,97,389,1.571,21,6,0.72,3,9,17
c49d5abe-c59a-407e-86c5-854d66764063,97,390,-0.066,11,2,0.39,14,17,11
f81c08f3-1282-4c29-a78e-125662c71c55,97,393,0.192,9,6,0.41,7,8,8
bcbeae52-b43e-41f0-9660-8dce4bf9dc10,97,403,1.926,19,8,0.41,0,16,6
8119d0a9-e5b4-4a32-8478-015095501abf,97,398,-0.63,25,3,0.93,11,0,4
f90ecf47-ec31-43d7-9dc2-a1ed7ab578c6,97,399,0.405,6,1,0.22,9,4,2
85abd7ac-7f6a-438f-8221-a920440cfd1f,97,404,-0.202,14,7,0.9,1,18,11
1703be90-8483-478b-ab0c-566de240a420,97,407,0.468,17,5,0.82,4,18,4
500272ce-dec0-4352-8551-24837b9c202e,97,399,1.476,27,8,0.88,20,18,10
be7d1ee2-fc04-4081-93c1-2b1452e9d8b4,97,402,0.372,17,2,0.46,10,10,7
c8532b55-291d-4fd1-8312-40012e87006f,97,389,-0.127,7,3,0.25,2,3,16
53c68ef9-2675-4391-811b-acb8c5589885,97,391,-0.326,29,3,0.2,19,10,11
27271a35-7fe6-4747-8398-1b3cde6be4e3,97,402,-0.654,20,6,1,11,19,6
c910fd26-6c94-4cac-b0ee-f3442dc21432,96,397,0.201,14,1,0.81,3,2,18
ef279fd8-dc55-453d-84ed-1365ce95e8a2,96,387,1.689,11,5,0.78,2,16,14
ec36ac1b-13a3-4f77-914c-64b2d5fcfca2,96,385,1.55,26,4,0.56,13,3,16
d4efe5f8-8faf-4763-a811-f731e9c1db5f,96,401,1.136,2,6,0.56,14,4,7
fb6fde47-f9f2-4447-a764-63ae0109c2da,96,389,1.191,22,8,0.48,2,19,9
97042af6-b90c-4d70-a0f5-28badcf9eee3,96,387,1.296,23,7,0.12,7,4,2
3acead69-8c12-4ecd-8a0d-c2ac428e7765,96,403,0.327,1,1,0.64,4,4,2
efb8ba06-32a1-4e82-9f08-9ba27f79016f,96,402,1.407,7,7,0.86,20,8,4
4c0af001-5178-4a56-813f-d9dd2d522380,96,401,-0.067,30,4,0.76,17,0,5
f5eabb99-3d67-41fa-aeeb-123dbba8b966,96,400,-0.743,17,7,1,6,2,2
6ac95350-717a-4806-905e-55574a2d1071,96,399,1.614,1,4,0.25,20,12,15
a7729dca-d81b-4b9d-8ff4-94a54d9af10a,96,401,1.163,15,5,0.83,2,7,18
c414a929-bc8a-46e4-b715-a67b35669c13,96,385,0.821,26,3,0.01,14,12,17
d00ec2d7-24a6-4280-8feb-6a8722fea001,96,387,0.872,7,8,0.18,18,12,15
7e8b08c9-4faf-480a-8933-34bc09a68ae0,96,388,-0.99,24,2,0.27,9,12,14
e349f665-b2e9-4f56-9336-7cba75403e9d,96,404,-0.706,22,8,0.39,1,18,15
7c715d03-5b08-4b04-bfc4-9c8c57962088,96,388,-0.671,12,5,0.11,11,20,1
4fc9ee6d-3d38-4996-b66e-bcd8ed1aedda,96,403,0.769,2,5,0.98,3,6,1
a5ab28db-0044-42c2-bb23-5933a6bd709a,96,400,-0.474,4,2,0.08,19,4,20
0b5493e1-e2ae-4914-a4bb-b804f59dd02d,96,401,0.002,24,4,0.96,17,10,10
949cd013-11e4-49ce-b314-98c1aa669b0b,96,389,0.474,20,8,0.55,18,16,16
86625350-b0f2-4bb1-8531-44b2d4d03d07,96,393,1.396,15,5,0.98,7,12,2
b4bbf686-7350-4157-80f1-54c961594693,96,384,1.134,10,7,0.54,0,5,15
29a9eba4-c214-40de-8cc8-cd638658dff7,96,389,-0.144,15,4,0.36,20,14,16
53a5ab94-b3f6-4ffa-9dee-c3d6bbc7319d,96,403,-0.303,27,1,0.45,13,1,3
4766af42-7fb6-4226-93ae-c1b1e8cef8e9,96,386,0.927,15,6,0.21,16,7,18
e478bf02-6b08-4b6e-9c11-24cfd19be21e,96,403,1.469,22,4,0.3,2,4,10
d5d223b0-ace9-4462-a6a9-86dd0ebe8e03,96,385,0.797,4,4,0.71,18,15,3
fc3737ff-5627-401e-927c-d9b3c49252d9,96,390,0.541,18,7,0.29,19,1,5
01ad8e85-b535-4199-92c6-d4c9856eec07,96,393,1.239,25,8,0.72,9,14,2
642611ea-2b25-449c-9628-14626517b35f,96,396,-0.591,3,1,0.97,13,0,3
d75e6288-95fe-4f16-b81e-1bac5aa8d989,96,385,-0.202,26,4,0.81,5,16,5
5148c4b1-dcf0-4aaf-955e-5b7e24b57b21,96,397,-0.076,2,2,0.44,4,12,8
223c549e-5792-4506-9b11-009d1f3837cc,96,394,1.595,26,8,0.52,9,4,0
d8f662be-f82b-4385-bba9-e04c3648424a,96,395,-0.599,9,4,0.94,1,6,11
84f5602c-c827-4052-acef-16ddab3d821d,96,399,0.511,25,4,0.42,6,14,16
11d83a62-34d2-4b37-8ef0-7d2144022a77,96,387,-0.107,23,3,0.58,5,2,17
a9ce21b7-12f2-4533-a931-0986d1be9eda,96,397,-0.969,14,5,0.05,16,18,16
d634012d-f3cd-4587-8cfa-5dcba488b931,96,386,0.004,12,1,0.51,15,9,18
f2d4f580-cea9-4f99-9734-9d46b2f04224,96,393,0.809,2,6,0.67,20,12,5
f28c7c86-dcd5-43dd-b23d-ccabe6bc12dc,96,388,-0.454,4,1,0.71,11,18,2
4ce2bb73-fdee-49d8-b182-0290505369f8,96,384,-0.708,23,7,0.21,18,16,16
5140fbb4-0baf-4bbf-8e92-a7e05bd817a2,96,404,1.714,17,5,0.25,2,4,0
d5081b84-4c8d-466f-8c87-cff6596a8f2a,96,389,0.224,22,4,0.7,3,0,8
93368ebf-e832-4ab0-9bd3-bd19597baebc,96,393,-0.978,12,8,0.34,19,8,8
6bb7c1ab-7853-491d-8e41-f208f3fab827,96,391,0.562,27,2,0.94,15,20,8
bb105634-af04-4802-aaca-93a65ab6cd23,96,397,0.072,1,5,0.35,0,8,9
fb4d86ca-c8c5-48c1-842f-7cb18f27df4b,96,384,1.591,23,8,0.49,13,8,7
a3b07f35-5a2a-48dd-9a57-fd47e7f69ebb,96,390,1.348,27,6,0.67,2,9,15
3167e745-8b46-4fb5-be77-34808786df84,96,390,-0.533,18,5,0.74,16,13,4
84421512-9032-48f1-8207-5959418cc754,96,391,1.336,7,4,0.88,0,14,3
2e13dc06-0ee1-4b84-99bd-77ac81363d4a,96,395,-0.013,27,6,0.79,5,14,3
1c6ea097-06b8-4416-99e0-a3e318b75f28,96,397,1.021,24,7,0.15,12,1,7
0cf9caf8-dcb5-485d-878e-10cb31d7d163,96,391,0.734,12,6,0.45,0,6,5
205c08df-ffec-448f-ab6e-7b426cf3ed8e,95,390,0.919,6,6,0.72,5,11,8
9eb98f59-94d6-4821-9422-6801d69f23cf,95,398,1.827,11,5,0.61,13,5,16
82f09d21-2bd1-4076-97eb-b126c8817742,95,385,1.002,23,3,0.2,9,8,16
78fae0ca-1721-4eff-bed1-be3051039827,95,385,0.27,28,7,0.17,0,20,19
cc044984-6cad-45ce-9954-259d7a46ed03,95,396,1.55,14,7,0.13,20,20,2
a6470511-2834-4c84-8d6d-e6ec50dc359c,95,395,0.829,25,7,0.91,4,5,11
eceacd5f-aadc-4ba6-b05e-ad4f5f92ede1,95,397,-0.988,16,2,0.63,2,16,5
92810304-69f1-4221-bf4f-dd2c66d06151,95,395,0.05,17,6,0.74,12,8,4
530b5e99-6e29-40c8-a83e-15ba5b18f5b0,95,382,1.567,5,4,0.72,5,1,3
6a3469a1-7cce-447b-b40e-fb364c12d0a0,95,385,0.926,9,8,0.02,16,2,2
382152f8-81c4-4ef1-88ad-647b53af7379,95,394,0.761,15,4,0.91,8,8,3
875aa842-3a93-4fec-8c33-fca07be50df5,95,395,-0.256,28,8,0.78,11,0,12
c072dbdb-4864-447f-92bf-fc1c48757978,95,381,1.93,19,7,0.44,1,5,1
bcbc4d91-ab36-4cdd-9876-2603c5e218a0,95,391,0.011,20,1,0.32,16,4,7
80599c89-456d-47f5-b05b-7dffcc6931e1,95,383,-0.682,1,7,0.01,17,5,7
bebbc6e9-5998-422e-bb24-cca9847ed851,95,380,-0.905,4,7,0.98,5,5,13
65223811-b2ae-4a9c-a5c2-e6e1d60c4555,95,385,1.339,21,7,0.94,13,10,12
cd9f6f44-9dfe-4340-8701-f9a25466e320,95,394,0.717,3,5,0.73,14,0,2
3cc2447d-dd66-4270-84a8-6f2c6c6933ce,95,396,-0.891,27,5,0.75,16,8,18
e8e8b0c3-e6ec-47ff-b679-907928787e11,95,397,-0.46,26,3,0.93,1,15,6
ebcbbe40-4ebf-44df-8970-84b7ae884298,95,390,-0.373,8,7,0.73,6,13,1
a1a58857-34e2-40ec-99bf-1d1f993ae78c,95,393,0.325,27,5,0.05,5,8,9
61fc6492-07fc-4fd6-b0fc-8fb73faad06e,95,381,1.889,7,7,0.58,6,19,10
2d8749c3-6879-49e6-942c-d559e364ff5c,95,384,-0.686,9,3,0.31,5,4,13
eba03a66-835d-4496-9159-24486e2fe226,95,394,1.632,18,7,0.87,20,10,10
